City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Korla,41.7597,86.1469,74.84,44,48,8.21,CN,2022-07-16 14:49:39,scattered clouds
60,Fuyu,45.1833,124.8167,65.44,94,3,7.25,CN,2022-07-16 14:49:40,clear sky
61,Winslow,35.0242,-110.6974,68.18,77,0,0.0,US,2022-07-16 14:49:40,clear sky
62,Vardo,70.3705,31.1107,51.78,93,100,27.63,NO,2022-07-16 14:49:40,overcast clouds
63,Vila Franca Do Campo,37.7167,-25.4333,70.21,70,0,10.27,PT,2022-07-16 14:49:41,clear sky
64,Cabo San Lucas,22.8909,-109.9124,80.62,66,60,6.69,MX,2022-07-16 14:49:41,broken clouds
65,Zhigansk,66.7697,123.3711,55.49,62,100,13.98,RU,2022-07-16 14:49:41,overcast clouds
66,Kilindoni,-7.9139,39.6668,76.15,69,100,18.81,TZ,2022-07-16 14:49:42,overcast clouds
67,Narsaq,60.9167,-46.05,46.62,90,100,4.14,GL,2022-07-16 14:49:42,overcast clouds
68,Saint-Philippe,-21.3585,55.7679,69.39,75,72,12.12,RE,2022-07-16 14:49:42,broken clouds
69,Constitucion,-35.3333,-72.4167,48.97,76,84,6.26,CL,2022-07-16 14:48:23,broken clouds
70,Maceio,-9.6658,-35.7353,80.04,78,75,8.05,BR,2022-07-16 14:49:43,broken clouds
71,Sobolevo,54.4299,31.8996,61.39,80,100,6.73,RU,2022-07-16 14:49:43,light rain
72,Genhe,50.7833,121.5167,60.73,97,100,3.13,CN,2022-07-16 14:49:44,overcast clouds
73,Minab,27.1467,57.0801,95.27,53,33,11.97,IR,2022-07-16 14:49:44,scattered clouds
74,Dunedin,-45.8742,170.5036,41.81,59,10,6.26,NZ,2022-07-16 14:49:44,clear sky
75,Ponta Delgada,37.7333,-25.6667,70.52,83,20,10.36,PT,2022-07-16 14:49:44,few clouds
76,Catuday,16.2923,119.8062,77.2,91,100,9.42,PH,2022-07-16 14:49:45,moderate rain
77,Edd,13.9297,41.6925,92.41,60,100,11.39,ER,2022-07-16 14:49:45,overcast clouds
78,Makokou,0.5738,12.8642,81.18,59,72,6.15,GA,2022-07-16 14:49:45,broken clouds
79,Pisco,-13.7,-76.2167,63.01,72,100,5.75,PE,2022-07-16 14:44:55,overcast clouds
80,Sao Bernardo,-3.3614,-42.4178,91.18,44,11,5.86,BR,2022-07-16 14:49:46,few clouds
81,Hobart,-42.8794,147.3294,51.26,72,100,14.97,AU,2022-07-16 14:45:03,overcast clouds
82,Gat,31.61,34.7642,86.4,14,0,11.43,IL,2022-07-16 14:49:01,clear sky
83,Newport,51.5877,-2.9984,83.77,48,70,1.28,GB,2022-07-16 14:49:46,broken clouds
84,Fortuna,40.5982,-124.1573,59.94,92,100,1.99,US,2022-07-16 14:49:47,overcast clouds
85,Mildura,-34.2,142.15,54.07,40,28,15.95,AU,2022-07-16 14:49:47,scattered clouds
86,Tasiilaq,65.6145,-37.6368,53.76,76,100,1.03,GL,2022-07-16 14:49:47,overcast clouds
87,Forio,40.7342,13.8646,88.09,78,0,4.0,IT,2022-07-16 14:49:48,clear sky
88,Jackson,42.4165,-122.8345,66.0,67,0,4.0,US,2022-07-16 14:47:36,clear sky
89,Arraial Do Cabo,-22.9661,-42.0278,80.56,61,0,11.5,BR,2022-07-16 14:49:48,clear sky
90,Kodiak,57.79,-152.4072,56.71,77,100,9.22,US,2022-07-16 14:49:48,overcast clouds
91,Los Llanos De Aridane,28.6585,-17.9182,72.12,83,20,13.8,ES,2022-07-16 14:49:49,few clouds
92,Tiznit,29.5833,-9.5,91.85,31,1,10.47,MA,2022-07-16 14:49:49,clear sky
93,Dingle,10.9995,122.6711,78.13,89,100,2.21,PH,2022-07-16 14:49:49,heavy intensity rain
94,Nevesinje,43.2586,18.1133,88.66,23,33,12.3,BA,2022-07-16 14:49:50,scattered clouds
95,Luwuk,-0.9516,122.7875,75.81,86,100,4.14,ID,2022-07-16 14:49:50,overcast clouds
96,Meulaboh,4.1363,96.1285,78.62,84,83,2.53,ID,2022-07-16 14:49:51,broken clouds
97,Antofagasta,-23.65,-70.4,54.68,45,0,9.08,CL,2022-07-16 14:49:51,clear sky
98,Srednekolymsk,67.45,153.6833,55.94,70,97,5.7,RU,2022-07-16 14:49:51,overcast clouds
99,Buala,-8.145,159.5921,79.23,83,97,10.42,SB,2022-07-16 14:49:52,light rain
100,Victoria,22.2855,114.1577,87.85,79,100,5.01,HK,2022-07-16 14:45:00,overcast clouds
101,Thompson,55.7435,-97.8558,71.76,53,0,2.3,CA,2022-07-16 14:45:16,smoke
102,Serenje,-13.2325,30.2352,64.24,38,83,7.54,ZM,2022-07-16 14:49:52,broken clouds
103,Torbay,47.6666,-52.7314,71.89,54,20,14.97,CA,2022-07-16 14:49:52,few clouds
104,Mackenzie,55.2999,-123.1698,53.82,94,100,4.61,CA,2022-07-16 14:49:53,overcast clouds
